Close,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
4018.88,0.2868589743589744,0.14358974358974358,-0.9792,0.121,0.809,0.071
4060.02,0.39285714285714285,0.08928571428571429,-0.891,0.156,0.735,0.109
4115.37,0.44536006321720606,0.09303923589637875,0.7543,0.104,0.792,0.104
4183.73,0.48055268595041306,0.26402376033057845,0.9645,0.142,0.694,0.164
4120.43,0.4003427128427128,-0.011266233766233768,-0.9779,0.121,0.813,0.066
4125.31,0.5019339738851935,-0.0038371520078837014,-0.9947,0.14,0.806,0.054
4047.64,0.0,0.0,-0.7096,0.277,0.723,0.0
4296.69,0.29584736251402916,0.06801346801346801,0.9123,0.059,0.843,0.098
4326.42,0.26749999999999996,0.09666666666666665,-0.2263,0.114,0.775,0.111
4330.22,0.46684074790457775,0.03832527401676339,-0.9939,0.172,0.747,0.08
4234.57,0.27315555555555554,0.15617777777777778,0.7455,0.139,0.709,0.152
4372.04,0.3754856254856254,0.11926961926961926,-0.7184,0.159,0.712,0.129
4326.72,0.31851851851851853,0.055555555555555566,-0.9139,0.136,0.786,0.079
4286.11,0.41071428571428575,0.11114718614718617,-0.8091,0.138,0.739,0.123
4352.26,0.246875,0.159375,0.9571,0.069,0.753,0.178
4370.47,0.37706476530005945,-0.03348187759952465,0.9517,0.11,0.719,0.172
4375.29,0.33878787878787875,0.04696969696969695,0.6551,0.095,0.789,0.116
4312.93,0.40627705627705624,-0.04383116883116883,0.033,0.133,0.729,0.138
4381.19,0.3761818181818182,0.17945454545454548,0.8442,0.108,0.725,0.167
4397.33,0.47149122807017546,0.15701754385964914,0.9884,0.089,0.699,0.211
4406.3,0.4619696969696969,-0.0006060606060606075,-0.9325,0.114,0.854,0.031
4363.05,0.439033189033189,-0.07528860028860031,-0.9234,0.194,0.663,0.143
4363.11,0.5038553234205408,-0.048660518225735604,-0.4939,0.08,0.855,0.065
4437.99,0.29850649350649355,0.10824675324675324,-0.9744,0.185,0.75,0.065
4330.32,0.4377899877899878,-0.02460317460317463,-0.9668,0.213,0.639,0.148
4350.65,0.387260843731432,0.20240047534165181,-0.9307,0.165,0.739,0.096
4302.23,0.34230346947738255,0.024297321036451464,0.9136,0.085,0.786,0.129
4262.55,0.3974747474747475,-0.05129769921436588,-0.9313,0.164,0.732,0.105
4122.16,0.45827777777777773,0.18616666666666667,0.9423,0.121,0.729,0.15
4112.69,0.35389610389610393,0.07402597402597402,-0.9761,0.169,0.761,0.07
4069.68,0.525,0.10454545454545454,-0.8074,0.128,0.787,0.085
4247.04,0.4107007575757575,0.011647727272727282,-0.9477,0.167,0.707,0.126
4271.65,0.5197368421052632,0.13865629984051037,0.9702,0.049,0.798,0.153
4095.16,0.45,-0.025,0.0,0.0,1.0,0.0
3998.12,0.0,0.0,0.4767,0.0,0.392,0.608
3881.96,0.08333333333333333,-0.06666666666666667,0.0,0.0,1.0,0.0
3540.65,0.0,0.0,-0.1531,0.444,0.556,0.0
3725.03,0.35419580419580426,0.09533799533799535,-0.8442,0.119,0.789,0.092
3819.86,0.40606060606060607,0.07681818181818183,-0.8201,0.102,0.813,0.086
3745.74,0.0,0.0,0.0,0.0,1.0,0.0
3722.49,0.5207130832130832,0.07016594516594517,-0.8024,0.129,0.769,0.102
3672.4,0.3183333333333333,0.13254545454545455,0.5267,0.107,0.775,0.118
3791.07,0.42999999999999994,0.07611111111111112,-0.9615,0.152,0.776,0.072
3713.97,0.4673957621326043,0.1673615857826384,-0.7717,0.163,0.709,0.128
3635.28,0.5026197939991043,0.17526869682042095,0.9851,0.098,0.728,0.173
3636.32,0.3479993386243387,0.1243716931216931,-0.5134,0.095,0.799,0.106
3694.82,0.41218434343434346,0.0571969696969697,-0.9538,0.129,0.826,0.045
3788.21,0.5088932806324111,0.01462450592885377,-0.9836,0.183,0.725,0.092
3751.56,0.35555555555555557,0.07095959595959594,-0.9289,0.123,0.808,0.069
3604.38,0.5271103896103896,0.05319264069264069,-0.7269,0.139,0.747,0.115
3565.65,0.336038961038961,-0.09561688311688311,0.2732,0.089,0.817,0.094
3576.0,0.43124999999999997,0.25625,0.7227,0.067,0.825,0.108
3544.08,0.31029696969696974,0.053975757575757566,0.5517,0.106,0.78,0.114
3458.39,0.3916666666666666,0.05416666666666666,-0.9304,0.123,0.802,0.075
3325.46,0.39342105263157895,-0.05263157894736842,-0.9485,0.126,0.819,0.055
3183.77,0.4406565656565657,0.17386363636363636,0.7269,0.068,0.83,0.102
3251.62,0.49033333333333334,0.03674999999999999,-0.5694,0.121,0.761,0.118
